Vernier Format 2
Файл.gmbl 07.12.2019 14:26:54 ,
Новый
Время	Угол	Скорость	Ускорение
t	Угол	v	a
с	rad	rad/с	rad/с²

0	0	0	0
0,01	0	0	0
0,02	0	0	0
0,03	0	0	0
0,04	0	0	0
0,05	0	0	0
0,06	0	0	0
0,07	0	0	0
0,08	0	0	0
0,09	0	0	0
0,1	0	0	0
0,11	0	0	0
0,12	0	0	0
0,13	0	0	0
0,14	0	0	0
0,15	0	0	0
0,16	0	0	0
0,17	0	0	0
0,18	0	0	0
0,19	0	0	0
0,2	0	0	0
0,21	0	0	0
0,22	0	0	0
0,23	0	0	0
0,24	0	0	0
0,25	0	0	0
0,26	0	0	0
0,27	0	0	0
0,28	0	0	0
0,29	0	0	0
0,3	0	0	0
0,31	0	0	0
0,32	0	0	0
0,33	0	0	0
0,34	0	0	0
0,35	0	0	0
0,36	0	0	0
0,37	0	0	0
0,38	0	0	0
0,39	0	0	0
0,4	0	0	0
0,41	0	0	0
0,42	0	0	0
0,43	0	0	0
0,44	0	0	0
0,45	0	0	0
0,46	0	0	0
0,47	0	0	0
0,48	0	0	0
0,49	0	0	0
0,5	0	0	0
0,51	0	0	0
0,52	0	0	0
0,53	0	0	0
0,54	0	0	0
0,55	0	0	0
0,56	0	0	0
0,57	0	0	0
0,58	0	0	0
0,59	0	0	0
0,6	0	0	0
0,61	0	0	0
0,62	0	0	0
0,63	0	0	0
0,64	0	0	0
0,65	0	0	0
0,66	0	0	0
0,67	0	0	0
0,68	0	0	0
0,69	0	0	0
0,7	0	0	0
0,71	0	0	0
0,72	0	0	0
0,73	0	0	0
0,74	0	0	0
0,75	0	0	0
0,76	0	0	0
0,77	0	0	0
0,78	0	0	0
0,79	0	0	0
0,8	0	0	0
0,81	0	0	0
0,82	0	0	0
0,83	0	0	0
0,84	0	0	0
0,85	0	0	0
0,86	0	0	0
0,87	0	0	0
0,88	0	0	0
0,89	0	0	0
0,9	0	0	0
0,91	0	0	0
0,92	0	0	0
0,93	0	0	0
0,94	0	0	0
0,95	0	0	0
0,96	0	0	0
0,97	0	0	0
0,98	0	0	0
0,99	0	0	0
1	0	0	0
1,01	0	0	0
1,02	0	0	0
1,03	0	0	0
1,04	0	0	0
1,05	0	0	0
1,06	0	0	0
1,07	0	0	0
1,08	0	0	0
1,09	0	0	0
1,1	0	0	0
1,11	0	0	0
1,12	0	0	0
1,13	0	0	0
1,14	0	0	0
1,15	0	0	0
1,16	0	0	0
1,17	0	0	0
1,18	0	0	0
1,19	0	0	0
1,2	0	0	0
1,21	0	0	0
1,22	0	0	0
1,23	0	0	0
1,24	0	0	0
1,25	0	0	0
1,26	0	0	0
1,27	0	0	0
1,28	0	0	0
1,29	0	0	0
1,3	0	0	0
1,31	0	0	0
1,32	0	0	0
1,33	0	0	0
1,34	0	0	0
1,35	0	0	0
1,36	0	0	0
1,37	0	0	0
1,38	0	0	0
1,39	0	0	0
1,4	0	0	-0,134670466975
1,41	0	0	-0,942693268823
1,42	0	0	-4,57879587714
1,43	0	-0,0484813681109	-11,8510010938
1,44	0	-0,193925472444	-20,4699109802
1,45	0	-0,630257785441	-13,1977057635
1,46	-0,0174532925199	-0,630257785441	7,67621661753
1,47	-0,0174532925199	-0,242406840555	8,34956895235
1,48	-0,0174532925199	-0,242406840556	-9,42693268836
1,49	-0,0174532925199	-0,630257785446	-12,2550124948
1,5	-0,0349065850399	-0,678739153556	1,21203420285
1,51	-0,0349065850399	-0,387850944888	-0,808022801716
1,52	-0,0349065850399	-0,678739153553	-4,98280727799
1,53	-0,0523598775599	-0,678739153552	4,84813681112
1,54	-0,0523598775599	-0,387850944887	6,1410753026E-012
1,55	-0,0523598775599	-0,678739153552	-4,84813681109
1,56	-0,0698131700798	-0,678739153552	4,84813681109
1,57	-0,0698131700798	-0,387850944887	-6,1410753026E-012
1,58	-0,0698131700798	-0,678739153552	-4,98280727809
1,59	-0,0872664625997	-0,678739153553	4,04011400916
1,6	-0,0872664625997	-0,387850944888	-3,77077307542
1,61	-0,0872664625997	-0,727220521667	-13,0630352966
1,62	-0,10471975512	-0,824183257889	-8,0802280184
1,63	-0,10471975512	-0,872664625997	-2,96275027331
1,64	-0,12217304764	-0,872664625996	2,96275027352
1,65	-0,12217304764	-0,824183257885	7,94555755154
1,66	-0,13962634016	-0,727220521663	12,2550124947
1,67	-0,13962634016	-0,387850944887	0
1,68	-0,13962634016	-0,727220521663	-12,2550124947
1,69	-0,157079632679	-0,824183257885	-8,08022801851
1,7	-0,157079632679	-0,872664625996	-3,77077307537
1,71	-0,174532925199	-0,872664625997	-0,80802280198
1,72	-0,174532925199	-0,872664626	-0,134670467054
1,73	-0,191986217719	-0,872664626	7,98268858423E-011
1,74	-0,191986217719	-0,872664625997	-0,134670466843
1,75	-0,209439510239	-0,872664625996	-0,808022801777
1,76	-0,209439510239	-0,872664625996	-3,77077307529
1,77	-0,226892802759	-0,921145994107	-8,08022801855
1,78	-0,226892802759	-1,01810873033	-12,2550124948
1,79	-0,244346095279	-1,35747830711	-0,134670467054
1,8	-0,261799387799	-1,01810873033	11,4469896929
1,81	-0,261799387799	-0,921145994108	4,30945494332
1,82	-0,279252680319	-0,921145994107	-4,30945494312
1,83	-0,279252680319	-1,01810873033	-11,4469896928
1,84	-0,296705972839	-1,3574783071	0,134670466904
1,85	-0,314159265359	-1,01810873033	12,2550124946
1,86	-0,314159265359	-0,921145994111	7,94555755143
1,87	-0,331612557879	-0,872664626	2,96275027352
1,88	-0,331612557879	-0,872664625997	-2,96275027331
1,89	-0,349065850399	-0,921145994107	-7,94555755143
1,9	-0,349065850399	-1,01810873033	-12,2550124947
1,91	-0,366519142919	-1,3574783071	0
1,92	-0,383972435439	-1,01810873033	12,2550124947
1,93	-0,383972435439	-0,921145994107	7,94555755143
1,94	-0,401425727959	-0,872664625997	2,96275027331
1,95	-0,401425727959	-0,872664626	-2,96275027352
1,96	-0,418879020479	-0,921145994111	-7,94555755143
1,97	-0,418879020479	-1,01810873033	-12,2550124946
1,98	-0,436332312999	-1,3574783071	7,05922974397E-011
1,99	-0,453785605519	-1,01810873033	12,2550124947
2	-0,453785605519	-0,921145994107	8,08022801841
2,01	-0,471238898038	-0,872664625997	3,77077307516
2,02	-0,471238898038	-0,872664626	0,808022801768
2,03	-0,488692190558	-0,872664626	0,134670467054
2,04	-0,488692190558	-0,872664625997	1,32456083139E-010
2,05	-0,506145483078	-0,872664625996	7,71916481352E-011
2,06	-0,506145483078	-0,872664625996	2,98230576037E-011
2,07	-0,523598775598	-0,872664625996	5,26276553201E-012
2,08	-0,523598775598	-0,872664625996	-5,26276553201E-012
2,09	-0,541052068118	-0,872664625996	-2,98230576037E-011
2,1	-0,541052068118	-0,872664625996	-7,71916481352E-011
2,11	-0,558505360638	-0,872664625997	0,134670466842
2,12	-0,558505360638	-0,872664626	0,808022801768
2,13	-0,575958653158	-0,872664626	3,77077307537
2,14	-0,575958653158	-0,824183257886	8,21489848559
2,15	-0,593411945678	-0,727220521664	13,1977057636
2,16	-0,593411945678	-0,387850944887	4,71346634414
2,17	-0,593411945678	-0,678739153552	0,538681867905
2,18	-0,610865238198	-0,630257785441	16,9684788388
2,19	-0,610865238198	-0,193925472444	21,277933782
2,2	-0,610865238198	-0,0484813681109	11,9856715607
2,21	-0,610865238198	0	4,71346634411
2,22	-0,610865238198	0	1,88538653765
2,23	-0,610865238198	0	4,71346634411
2,24	-0,610865238198	0,0484813681109	11,9856715607
2,25	-0,610865238198	0,193925472444	21,277933782
2,26	-0,610865238198	0,630257785441	16,9684788388
2,27	-0,593411945678	0,678739153552	0,67335233488
2,28	-0,593411945678	0,387850944887	5,52148914599
2,29	-0,593411945678	0,727220521664	16,9684788389
2,3	-0,575958653158	0,872664625997	16,429796971
2,31	-0,575958653158	1,01810873033	16,8338083719
2,32	-0,558505360638	1,35747830711	4,57879587706
2,33	-0,541052068118	1,06659009844	-3,9054435424
2,34	-0,541052068118	1,06659009844	5,11747774497
2,35	-0,523598775598	1,3574783071	0,942693268823
2,36	-0,506145483078	1,06659009844	-0,269340933878
2,37	-0,506145483078	1,11507146655	16,833808372
2,38	-0,488692190558	1,55140377955	21,2779337821
2,39	-0,471238898038	1,69684788388	12,1203420277
2,4	-0,453785605519	1,74532925199	5,52148914591
2,41	-0,436332312999	1,74532925199	5,52148914602
2,42	-0,418879020479	1,79381062011	11,9856715608
2,43	-0,401425727959	1,93925472444	20,4699109801
2,44	-0,383972435439	2,37558703743	13,1977057635
2,45	-0,349065850399	2,37558703743	-7,6762166175
2,46	-0,331612557879	1,98773609255	-8,34956895235
2,47	-0,314159265359	1,98773609255	9,42693268822
2,48	-0,296705972839	2,37558703744	12,2550124947
2,49	-0,261799387799	2,42406840555	-1,21203420274
2,5	-0,244346095279	2,13318019688	0,808022801816
2,51	-0,226892802759	2,42406840555	5,11747774503
2,52	-0,191986217719	2,42406840555	-4,04011400923
2,53	-0,174532925199	2,13318019688	3,77077307521
2,54	-0,157079632679	2,47254977366	13,0630352965
2,55	-0,12217304764	2,56951250988	8,21489848554
2,56	-0,10471975512	2,61799387799	3,77077307542
2,57	-0,0698131700798	2,61799387799	0,808022801901
2,58	-0,0523598775599	2,61799387799	0,134670466951
2,59	-0,0174532925199	2,61799387799	-0,134670467055
2,6	0	2,61799387799	-0,808022801877
2,61	0,0349065850398	2,61799387799	-3,77077307529
2,62	0,0523598775599	2,56951250988	-8,08022801856
2,63	0,0872664625997	2,47254977366	-12,2550124948
2,64	0,10471975512	2,13318019688	-0,13467046689
2,65	0,12217304764	2,47254977366	11,446989693
2,66	0,157079632679	2,56951250988	4,30945494324
2,67	0,174532925199	2,56951250988	-4,44412541021
2,68	0,209439510239	2,47254977366	-12,3896829618
2,69	0,226892802759	2,13318019688	-4,44412541025
2,7	0,244346095279	2,42406840555	0,404011400979
2,71	0,279252680319	2,37558703744	-12,3896829616
2,72	0,296705972839	1,98773609255	-9,42693268824
2,73	0,314159265359	1,98773609255	8,34956895243
2,74	0,331612557879	2,37558703744	7,67621661757
2,75	0,366519142919	2,37558703744	-13,1977057636
2,76	0,383972435439	1,93925472444	-20,4699109802
2,77	0,401425727959	1,7938106201	-11,8510010937
2,78	0,418879020479	1,745329252	-4,57879587709
