Vernier Format 2
Файл.gmbl 07.12.2019 14:33:54 ,
Новый
Время	Угол	Скорость	Ускорение
t	Угол	v	a
с	rad	rad/с	rad/с²

0	0	0	0
0,01	0	0	0
0,02	0	0	0
0,03	0	0	0
0,04	0	0	0
0,05	0	0	0
0,06	0	0	0
0,07	0	0	0
0,08	0	0	0
0,09	0	0	0
0,1	0	0	0
0,11	0	0	0
0,12	0	0	0
0,13	0	0	0
0,14	0	0	0
0,15	0	0	0
0,16	0	0	0
0,17	0	0	0
0,18	0	0	0
0,19	0	0	0
0,2	0	0	0
0,21	0	0	0
0,22	0	0	0
0,23	0	0	0
0,24	0	0	0
0,25	0	0	0
0,26	0	0	0
0,27	0	0	0
0,28	0	0	0
0,29	0	0	0
0,3	0	0	0
0,31	0	0	0
0,32	0	0	0
0,33	0	0	0
0,34	0	0	0
0,35	0	0	0
0,36	0	0	0
0,37	0	0	0
0,38	0	0	0
0,39	0	0	-0,134670466975
0,4	0	0	-0,942693268823
0,41	0	0	-4,57879587714
0,42	0	-0,0484813681109	-11,8510010938
0,43	0	-0,193925472444	-20,3352405132
0,44	0	-0,630257785441	-12,2550124947
0,45	-0,0174532925199	-0,630257785441	12,2550124947
0,46	-0,0174532925199	-0,193925472444	20,3352405132
0,47	-0,0174532925199	-0,0484813681109	11,8510010938
0,48	-0,0174532925199	0	4,57879587714
0,49	-0,0174532925199	0	0,942693268823
0,5	-0,0174532925199	0	0,134670466975
0,51	-0,0174532925199	0	0
0,52	-0,0174532925199	0	0
0,53	-0,0174532925199	0	0
0,54	-0,0174532925199	0	0
0,55	-0,0174532925199	0	0
0,56	-0,0174532925199	0	0
0,57	-0,0174532925199	0	0
0,58	-0,0174532925199	0	0
0,59	-0,0174532925199	0	0
0,6	-0,0174532925199	0	0
0,61	-0,0174532925199	0	0
0,62	-0,0174532925199	0	0
0,63	-0,0174532925199	0	0
0,64	-0,0174532925199	0	0
0,65	-0,0174532925199	0	0
0,66	-0,0174532925199	0	0
0,67	-0,0174532925199	0	0
0,68	-0,0174532925199	0	0
0,69	-0,0174532925199	0	0
0,7	-0,0174532925199	0	0
0,71	-0,0174532925199	0	0
0,72	-0,0174532925199	0	0
0,73	-0,0174532925199	0	0,134670466975
0,74	-0,0174532925199	0	0,942693268823
0,75	-0,0174532925199	0	4,57879587714
0,76	-0,0174532925199	0,0484813681109	11,8510010938
0,77	-0,0174532925199	0,193925472444	20,3352405132
0,78	-0,0174532925199	0,630257785441	12,2550124947
0,79	0	0,630257785441	-12,2550124947
0,8	0	0,193925472444	-20,3352405132
0,81	0	0,0484813681109	-11,8510010938
0,82	0	0	-4,57879587714
0,83	0	0	-0,942693268823
0,84	0	0	-0,134670466975
0,85	0	0	0
0,86	0	0	0
0,87	0	0	0
0,88	0	0	0
0,89	0	0	0
0,9	0	0	0
0,91	0	0	0
0,92	0	0	0
0,93	0	0	0
0,94	0	0	0
0,95	0	0	0
0,96	0	0	0
0,97	0	0	0
0,98	0	0	0
0,99	0	0	0
1	0	0	0
1,01	0	0	0
1,02	0	0	0
1,03	0	0	0
1,04	0	0	0
1,05	0	0	0
1,06	0	0	0
1,07	0	0	0
1,08	0	0	0
1,09	0	0	0
1,1	0	0	0
1,11	0	0	0
1,12	0	0	0
1,13	0	0	0
1,14	0	0	0
1,15	0	0	0
1,16	0	0	0
1,17	0	0	0
1,18	0	0	0
1,19	0	0	0
1,2	0	0	0
1,21	0	0	0
1,22	0	0	0
1,23	0	0	0
1,24	0	0	0
1,25	0	0	0
1,26	0	0	0
1,27	0	0	0
1,28	0	0	0
1,29	0	0	0
1,3	0	0	0,134670466975
1,31	0	0	0,942693268823
1,32	0	0	4,71346634411
1,33	0	0,0484813681109	12,9283648296
1,34	0	0,193925472444	25,9914001261
1,35	0	0,678739153553	29,7621732015
1,36	0,0174532925199	0,872664625997	25,5873887253
1,37	0,0174532925199	1,06659009844	29,8968436685
1,38	0,0349065850399	1,55140377955	26,9340933949
1,39	0,0523598775599	1,69684788388	17,6418311736
1,4	0,0698131700798	1,7938106201	17,6418311737
1,41	0,0872664625997	1,93925472444	26,934093395
1,42	0,10471975512	2,42406840555	30,0315141353
1,43	0,13962634016	2,61799387799	26,530081994
1,44	0,157079632679	2,81191935044	34,4756395456
1,45	0,191986217719	3,34521439966	38,9197649557
1,46	0,226892802759	3,63610260832	38,9197649557
1,47	0,261799387799	4,16939765754	34,4756395455
1,48	0,314159265359	4,36332312999	26,530081994
1,49	0,349065850399	4,55724860243	30,0315141354
1,5	0,401425727959	5,04206228354	26,934093395
1,51	0,453785605519	5,18750638787	17,6418311737
1,52	0,506145483078	5,28446912409	17,6418311737
1,53	0,558505360638	5,42991322843	26,934093395
1,54	0,610865238198	5,91472690954	29,8968436685
1,55	0,680678408278	6,10865238198	25,5873887252
1,56	0,733038285838	6,30257785443	29,8968436683
1,57	0,802851455917	6,78739153553	26,9340933948
1,58	0,872664625997	6,93283563986	17,5071607066
1,59	0,942477796077	7,02979837609	16,6991379049
1,6	1,01229096616	7,17524248042	22,220627051
1,61	1,08210413624	7,61157479342	17,1031493059
1,62	1,16937059884	7,66005616153	0,673352334904
1,63	1,23918376892	7,36916795287	5,52148914597
1,64	1,308996939	7,70853752964	16,9684788388
1,65	1,3962634016	7,85398163397	16,295126504
1,66	1,46607657168	7,99942573831	16,0257855701
1,67	1,55334303427	8,33879531509	0,808022801928
1,68	1,64060949687	7,99942573831	-12,2550124948
1,69	1,71042266695	7,90246300209	-9,02292128744
1,7	1,79768912955	7,85398163397	-8,34956895251
1,71	1,86750229963	7,80550026586	-12,6590238957
1,72	1,95476876223	7,66005616153	-20,7392519142
1,73	2,02458193231	7,22372384853	-14,1403990324
1,74	2,09439510239	7,22372384853	2,96275027347
1,75	2,16420827247	7,56309342531	-4,44412541008
1,76	2,25147473507	7,41764932098	-34,4756395456
1,77	2,32128790515	6,54498469498	-37,4383898191
1,78	2,37364778271	6,35105922253	-12,5243534286
1,79	2,44346095279	6,59346606309	-10,23495549
1,8	2,51327412287	6,25409648631	-18,9885358434
1,81	2,56563400043	6,10865238198	-22,085956584
1,82	2,63544717051	5,91472690953	-33,5329462768
1,83	2,68780704807	5,38143186031	-38,6504240217
1,84	2,74016692563	5,09054365165	-37,9770716869
1,85	2,79252680319	4,55724860243	-29,8968436685
1,86	2,82743338823	4,4118044981	-14,8137513673
1,87	2,87979326579	4,36332312999	-10,504296424
1,88	2,91469985083	4,31484176187	-18,4498539755
1,89	2,96705972839	4,12091628943	-38,1117421538
1,9	3,00196631343	3,49065850399	-51,0401069834
1,91	3,03687289847	2,86040071855	-42,555867564
1,92	3,05432619099	2,61799387799	-30,3008550694
1,93	3,08923277603	2,42406840555	-30,8395369374
1,94	3,10668606855	1,93925472444	-27,203434329
1,95	3,12413936107	1,7938106201	-18,4498539755
1,96	3,14159265359	1,69684788388	-21,2779337819
1,97	3,15904594611	1,50292241144	-34,3409690785
1,98	3,17649923863	0,921145994111	-39,3237763567
1,99	3,17649923863	0,436332312999	-22,220627051
2	3,17649923863	0,630257785442	-18,0458425747
2,01	3,19395253115	0,436332312998	-42,959878965
2,02	3,19395253115	-0,484813681109	-46,7306520403
2,03	3,17649923863	-0,775701889775	-26,6647524611
2,04	3,17649923863	-0,872664626	-18,5845244426
2,05	3,15904594611	-0,969627362222	-26,6647524609
2,06	3,15904594611	-1,26051557088	-46,7306520401
2,07	3,14159265359	-2,18166156499	-42,9598789649
2,08	3,10668606855	-2,37558703743	-18,0458425747
2,09	3,08923277603	-2,18166156499	-22,220627051
2,1	3,07177948351	-2,6664752461	-39,3237763567
2,11	3,03687289847	-3,24825166343	-34,3409690785
2,12	3,00196631343	-3,44217713588	-21,2779337819
2,13	2,96705972839	-3,5391398721	-18,4498539756
2,14	2,93215314335	-3,68458397643	-27,0687638621
2,15	2,89724655831	-4,16939765754	-30,0315141354
2,16	2,84488668075	-4,36332312999	-26,530081994
2,17	2,80998009571	-4,55724860243	-34,4756395455
2,18	2,75762021815	-5,09054365165	-38,7850944888
2,19	2,70526034059	-5,38143186031	-37,977071687
2,2	2,65290046303	-5,91472690954	-29,8968436685
2,21	2,58308729295	-6,06017101387	-14,6790809002
2,22	2,53072741539	-6,10865238198	-9,5616031551
2,23	2,46091424531	-6,15713375009	-13,8710580983
2,24	2,40855436775	-6,30257785442	-26,1260705932
2,25	2,33874119767	-6,78739153553	-29,6275027346
2,26	2,26892802759	-6,98131700798	-24,7793659234
2,27	2,19911485751	-7,17524248042	-25,9914001261
2,28	2,12930168743	-7,61157479342	-17,9111721076
2,29	2,04203522483	-7,66005616153	-0,673352334874
2,3	1,97222205475	-7,36916795287	-4,71346634411
2,31	1,90240888467	-7,70853752964	-13,1977057635
2,32	1,81514242207	-7,80550026586	-8,21489848546
2,33	1,74532925199	-7,85398163397	-3,77077307529
2,34	1,65806278939	-7,85398163397	-0,673352334873
2,35	1,58824961931	-7,85398163397	0,673352334873
2,36	1,50098315672	-7,85398163397	3,77077307529
2,37	1,43116998664	-7,80550026586	8,21489848546
2,38	1,34390352404	-7,70853752964	13,1977057635
2,39	1,27409035396	-7,36916795287	4,71346634411
2,4	1,20427718388	-7,66005616153	0,538681867899
2,41	1,11701072128	-7,61157479342	17,1031493058
2,42	1,0471975512	-7,17524248042	22,2206270508
2,43	0,977384381117	-7,02979837609	16,6991379049
2,44	0,907571211037	-6,93283563987	17,5071607068
2,45	0,837758040957	-6,78739153553	26,9340933951
2,46	0,767944870877	-6,30257785442	29,8968436685
2,47	0,715584993318	-6,10865238198	25,5873887251
2,48	0,645771823238	-5,91472690954	29,8968436683
2,49	0,593411945678	-5,42991322843	26,934093395
2,5	0,541052068118	-5,28446912409	17,6418311738
2,51	0,488692190558	-5,18750638787	17,6418311737
2,52	0,436332312999	-5,04206228354	26,934093395
2,53	0,383972435439	-4,55724860243	30,0315141354
2,54	0,349065850399	-4,36332312999	26,5300819941
2,55	0,296705972839	-4,16939765754	34,4756395455
2,56	0,261799387799	-3,63610260832	38,9197649557
2,57	0,226892802759	-3,34521439966	38,9197649557
2,58	0,191986217719	-2,81191935044	34,4756395456
2,59	0,174532925199	-2,61799387799	26,5300819941
2,6	0,13962634016	-2,42406840555	30,0315141354
2,61	0,12217304764	-1,93925472444	26,9340933949
